State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %
AZ,Apache County,34.5,30651.0,2010,16.308333333333334,66.2,8.4,18031710.0,5.0
AZ,Cochise County,17.7,43677.0,2010,9.283333333333333,66.2,8.4,18031710.0,5.0
AZ,Coconino County,23.8,43051.0,2010,9.808333333333334,66.2,8.4,18031710.0,5.0
AZ,Gila County,19.8,37430.0,2010,12.441666666666665,66.2,8.4,18031710.0,5.0
AZ,Graham County,21.6,39299.0,2010,12.825,66.2,8.4,18031710.0,5.0
AZ,Greenlee County,12.7,49592.0,2010,16.3,66.2,8.4,18031710.0,5.0
AZ,La Paz County,23.7,33818.0,2010,10.158333333333333,66.2,8.4,18031710.0,5.0
AZ,Maricopa County,16.6,50424.0,2010,9.458333333333334,66.2,8.4,18031710.0,5.0
AZ,Mohave County,18.7,36446.0,2010,12.875,66.2,8.4,18031710.0,5.0
AZ,Navajo County,27.8,37723.0,2010,14.591666666666667,66.2,8.4,18031710.0,5.0
AZ,Pima County,17.8,44293.0,2010,9.291666666666666,66.2,8.4,18031710.0,5.0
AZ,Pinal County,14.4,49833.0,2010,10.65,66.2,8.4,18031710.0,5.0
AZ,Santa Cruz County,28.0,33952.0,2010,15.15,66.2,8.4,18031710.0,5.0
AZ,Yavapai County,18.3,40562.0,2010,10.6,66.2,8.4,18031710.0,5.0
AZ,Yuma County,21.1,40609.0,2010,24.891666666666666,66.2,8.4,18031710.0,5.0
AZ,Apache County,36.5,30837.0,2011,18.33333333333333,66.6,8.9,48652319.0,5.0
AZ,Cochise County,19.6,41237.0,2011,9.466666666666667,66.6,8.9,48652319.0,5.0
AZ,Coconino County,21.6,45051.0,2011,9.475,66.6,8.9,48652319.0,5.0
AZ,Gila County,25.7,35898.0,2011,11.491666666666667,66.6,8.9,48652319.0,5.0
AZ,Graham County,26.0,40548.0,2011,9.9,66.6,8.9,48652319.0,5.0
AZ,Greenlee County,13.9,51145.0,2011,10.983333333333333,66.6,8.9,48652319.0,5.0
AZ,La Paz County,24.2,30679.0,2011,9.8,66.6,8.9,48652319.0,5.0
AZ,Maricopa County,17.4,50785.0,2011,8.5,66.6,8.9,48652319.0,5.0
AZ,Mohave County,21.7,35998.0,2011,12.2,66.6,8.9,48652319.0,5.0
AZ,Navajo County,32.4,32425.0,2011,14.733333333333333,66.6,8.9,48652319.0,5.0
AZ,Pima County,20.4,44102.0,2011,8.441666666666666,66.6,8.9,48652319.0,5.0
AZ,Pinal County,17.4,45170.0,2011,9.675,66.6,8.9,48652319.0,5.0
AZ,Santa Cruz County,26.2,35500.0,2011,15.358333333333333,66.6,8.9,48652319.0,5.0
AZ,Yavapai County,18.4,41437.0,2011,9.791666666666666,66.6,8.9,48652319.0,5.0
AZ,Yuma County,22.3,37894.0,2011,24.016666666666666,66.6,8.9,48652319.0,5.0
AZ,Apache County,33.2,32886.0,2012,18.95833333333333,67.1,9.12,48357880.0,5.0
AZ,Apache County,33.2,32886.0,2012,18.95833333333333,67.1,8.16,48357880.0,5.0
AZ,Cochise County,18.8,43017.0,2012,9.025,67.1,9.12,48357880.0,5.0
AZ,Cochise County,18.8,43017.0,2012,9.025,67.1,8.16,48357880.0,5.0
AZ,Coconino County,24.6,45509.0,2012,8.591666666666667,67.1,9.12,48357880.0,5.0
AZ,Coconino County,24.6,45509.0,2012,8.591666666666667,67.1,8.16,48357880.0,5.0
AZ,Gila County,21.3,38267.0,2012,10.208333333333334,67.1,9.12,48357880.0,5.0
AZ,Gila County,21.3,38267.0,2012,10.208333333333334,67.1,8.16,48357880.0,5.0
AZ,Graham County,25.4,41080.0,2012,8.5,67.1,9.12,48357880.0,5.0
AZ,Graham County,25.4,41080.0,2012,8.5,67.1,8.16,48357880.0,5.0
AZ,Greenlee County,12.0,53312.0,2012,8.225,67.1,9.12,48357880.0,5.0
AZ,Greenlee County,12.0,53312.0,2012,8.225,67.1,8.16,48357880.0,5.0
AZ,La Paz County,24.5,35236.0,2012,8.541666666666666,67.1,9.12,48357880.0,5.0
AZ,La Paz County,24.5,35236.0,2012,8.541666666666666,67.1,8.16,48357880.0,5.0
AZ,Maricopa County,17.4,51442.0,2012,7.291666666666668,67.1,9.12,48357880.0,5.0
AZ,Maricopa County,17.4,51442.0,2012,7.291666666666668,67.1,8.16,48357880.0,5.0
AZ,Mohave County,21.1,34966.0,2012,11.033333333333333,67.1,9.12,48357880.0,5.0
AZ,Mohave County,21.1,34966.0,2012,11.033333333333333,67.1,8.16,48357880.0,5.0
AZ,Navajo County,30.3,34662.0,2012,14.133333333333333,67.1,9.12,48357880.0,5.0
AZ,Navajo County,30.3,34662.0,2012,14.133333333333333,67.1,8.16,48357880.0,5.0
AZ,Pima County,19.9,44745.0,2012,7.3916666666666675,67.1,9.12,48357880.0,5.0
AZ,Pima County,19.9,44745.0,2012,7.3916666666666675,67.1,8.16,48357880.0,5.0
AZ,Pinal County,17.7,50362.0,2012,8.533333333333333,67.1,9.12,48357880.0,5.0
AZ,Pinal County,17.7,50362.0,2012,8.533333333333333,67.1,8.16,48357880.0,5.0
AZ,Santa Cruz County,24.8,36660.0,2012,15.458333333333336,67.1,9.12,48357880.0,5.0
AZ,Santa Cruz County,24.8,36660.0,2012,15.458333333333336,67.1,8.16,48357880.0,5.0
AZ,Yavapai County,15.7,43397.0,2012,8.591666666666667,67.1,9.12,48357880.0,5.0
AZ,Yavapai County,15.7,43397.0,2012,8.591666666666667,67.1,8.16,48357880.0,5.0
AZ,Yuma County,21.9,39072.0,2012,23.766666666666666,67.1,9.12,48357880.0,5.0
AZ,Yuma County,21.9,39072.0,2012,23.766666666666666,67.1,8.16,48357880.0,5.0
AZ,Apache County,38.7,30252.0,2013,18.516666666666666,64.65,8.17,46269358.0,5.0
AZ,Cochise County,18.8,45294.0,2013,9.258333333333333,64.65,8.17,46269358.0,5.0
AZ,Coconino County,23.2,48732.0,2013,8.2,64.65,8.17,46269358.0,5.0
AZ,Gila County,22.6,39868.0,2013,9.691666666666666,64.65,8.17,46269358.0,5.0
AZ,Graham County,21.6,43497.0,2013,7.8,64.65,8.17,46269358.0,5.0
AZ,Greenlee County,11.6,54673.0,2013,5.9833333333333325,64.65,8.17,46269358.0,5.0
AZ,La Paz County,23.2,33994.0,2013,8.233333333333333,64.65,8.17,46269358.0,5.0
AZ,Maricopa County,17.6,52066.0,2013,6.625,64.65,8.17,46269358.0,5.0
AZ,Mohave County,21.3,38560.0,2013,10.433333333333334,64.65,8.17,46269358.0,5.0
AZ,Navajo County,31.8,37182.0,2013,13.55,64.65,8.17,46269358.0,5.0
AZ,Pima County,19.3,43926.0,2013,6.808333333333334,64.65,8.17,46269358.0,5.0
AZ,Pinal County,16.7,49887.0,2013,8.125,64.65,8.17,46269358.0,5.0
AZ,Santa Cruz County,22.7,35753.0,2013,15.45,64.65,8.17,46269358.0,5.0
AZ,Yavapai County,16.4,40486.0,2013,7.791666666666668,64.65,8.17,46269358.0,5.0
AZ,Yuma County,19.2,40498.0,2013,25.575,64.65,8.17,46269358.0,5.0
AZ,Apache County,33.1,32366.0,2014,15.683333333333335,62.2,8.18,59156404.0,5.0
AZ,Cochise County,18.7,45025.0,2014,8.433333333333334,62.2,8.18,59156404.0,5.0
AZ,Coconino County,21.3,48653.0,2014,7.133333333333333,62.2,8.18,59156404.0,5.0
AZ,Gila County,24.4,37677.0,2014,8.325,62.2,8.18,59156404.0,5.0
AZ,Graham County,20.0,46046.0,2014,7.441666666666666,62.2,8.18,59156404.0,5.0
AZ,Greenlee County,10.3,59416.0,2014,6.666666666666668,62.2,8.18,59156404.0,5.0
AZ,La Paz County,22.8,32533.0,2014,7.616666666666667,62.2,8.18,59156404.0,5.0
AZ,Maricopa County,17.1,53929.0,2014,5.808333333333334,62.2,8.18,59156404.0,5.0
AZ,Mohave County,20.8,37704.0,2014,8.733333333333333,62.2,8.18,59156404.0,5.0
AZ,Navajo County,28.5,35457.0,2014,11.083333333333336,62.2,8.18,59156404.0,5.0
AZ,Pima County,18.7,45871.0,2014,6.05,62.2,8.18,59156404.0,5.0
AZ,Pinal County,17.6,49876.0,2014,7.016666666666668,62.2,8.18,59156404.0,5.0
AZ,Santa Cruz County,23.6,37465.0,2014,12.95,62.2,8.18,59156404.0,5.0
AZ,Yavapai County,15.6,44145.0,2014,6.366666666666667,62.2,8.18,59156404.0,5.0
AZ,Yuma County,22.6,39700.0,2014,22.891666666666666,62.2,8.18,59156404.0,5.0
AZ,Apache County,33.2,34040.0,2016,11.633333333333333,63.4,8.25,48282977.0,5.0
AZ,Cochise County,21.1,45151.0,2016,6.333333333333332,63.4,8.25,48282977.0,5.0
AZ,Coconino County,17.8,53643.0,2016,6.125,63.4,8.25,48282977.0,5.0
AZ,Gila County,20.3,40747.0,2016,7.341666666666668,63.4,8.25,48282977.0,5.0
AZ,Graham County,22.9,46714.0,2016,6.8583333333333325,63.4,8.25,48282977.0,5.0
AZ,Greenlee County,12.0,61110.0,2016,7.675,63.4,8.25,48282977.0,5.0
AZ,La Paz County,24.8,34285.0,2016,6.125,63.4,8.25,48282977.0,5.0
AZ,Maricopa County,15.0,58742.0,2016,4.658333333333333,63.4,8.25,48282977.0,5.0
AZ,Mohave County,18.3,42003.0,2016,6.708333333333332,63.4,8.25,48282977.0,5.0
AZ,Navajo County,28.2,37440.0,2016,8.408333333333333,63.4,8.25,48282977.0,5.0
AZ,Pima County,18.2,47644.0,2016,5.033333333333333,63.4,8.25,48282977.0,5.0
AZ,Pinal County,15.4,52642.0,2016,5.625,63.4,8.25,48282977.0,5.0
AZ,Santa Cruz County,20.9,39090.0,2016,10.208333333333334,63.4,8.25,48282977.0,5.0
AZ,Yavapai County,13.3,49824.0,2016,5.008333333333333,63.4,8.25,48282977.0,5.0
AZ,Yuma County,19.3,42998.0,2016,19.033333333333328,63.4,8.25,48282977.0,5.0
AZ,Apache County,33.1,33053.0,2017,10.425,56.97,8.33,41824609.0,5.0
AZ,Cochise County,16.1,48966.0,2017,5.641666666666668,56.97,8.33,41824609.0,5.0
AZ,Coconino County,18.4,54399.0,2017,5.616666666666667,56.97,8.33,41824609.0,5.0
AZ,Gila County,24.1,38897.0,2017,6.116666666666667,56.97,8.33,41824609.0,5.0
AZ,Graham County,20.9,46378.0,2017,5.525,56.97,8.33,41824609.0,5.0
AZ,Greenlee County,10.1,63557.0,2017,5.1,56.97,8.33,41824609.0,5.0
AZ,La Paz County,20.9,36389.0,2017,5.4833333333333325,56.97,8.33,41824609.0,5.0
AZ,Maricopa County,13.5,62221.0,2017,4.25,56.97,8.33,41824609.0,5.0
AZ,Mohave County,17.3,42210.0,2017,5.941666666666666,56.97,8.33,41824609.0,5.0
AZ,Navajo County,26.4,40883.0,2017,7.741666666666667,56.97,8.33,41824609.0,5.0
AZ,Pima County,16.6,51392.0,2017,4.566666666666666,56.97,8.33,41824609.0,5.0
AZ,Pinal County,13.0,53114.0,2017,5.091666666666667,56.97,8.33,41824609.0,5.0
AZ,Santa Cruz County,23.6,39265.0,2017,9.616666666666667,56.97,8.33,41824609.0,5.0
AZ,Yavapai County,13.9,49860.0,2017,4.583333333333333,56.97,8.33,41824609.0,5.0
AZ,Yuma County,19.0,46013.0,2017,17.183333333333334,56.97,8.33,41824609.0,5.0
AZ,Apache County,37.3,33652.0,2018,9.95,54.945,8.37,95355516.0,5.0
AZ,Cochise County,15.1,49164.0,2018,5.6083333333333325,54.945,8.37,95355516.0,5.0
AZ,Coconino County,15.9,60187.0,2018,5.525,54.945,8.37,95355516.0,5.0
AZ,Gila County,20.4,43585.0,2018,5.8,54.945,8.37,95355516.0,5.0
AZ,Graham County,20.2,50157.0,2018,5.091666666666667,54.945,8.37,95355516.0,5.0
AZ,Greenlee County,10.5,65818.0,2018,4.175,54.945,8.37,95355516.0,5.0
AZ,La Paz County,23.7,37350.0,2018,6.25,54.945,8.37,95355516.0,5.0
AZ,Maricopa County,12.3,65234.0,2018,4.133333333333333,54.945,8.37,95355516.0,5.0
AZ,Mohave County,16.8,45129.0,2018,5.708333333333332,54.945,8.37,95355516.0,5.0
AZ,Navajo County,28.5,40650.0,2018,7.7,54.945,8.37,95355516.0,5.0
AZ,Pima County,16.2,53395.0,2018,4.433333333333334,54.945,8.37,95355516.0,5.0
AZ,Pinal County,12.9,58848.0,2018,5.0,54.945,8.37,95355516.0,5.0
AZ,Santa Cruz County,24.4,40545.0,2018,9.225,54.945,8.37,95355516.0,5.0
AZ,Yavapai County,13.2,48758.0,2018,4.441666666666666,54.945,8.37,95355516.0,5.0
AZ,Yuma County,19.5,44116.0,2018,16.925,54.945,8.37,95355516.0,5.0
AZ,Apache County,33.4,35386.0,2019,10.075,52.92,8.4,66078612.0,5.0
AZ,Cochise County,16.6,48650.0,2019,5.791666666666668,52.92,8.4,66078612.0,5.0
AZ,Coconino County,15.9,58301.0,2019,5.758333333333333,52.92,8.4,66078612.0,5.0
AZ,Gila County,21.1,45980.0,2019,5.683333333333334,52.92,8.4,66078612.0,5.0
AZ,Graham County,20.1,50685.0,2019,4.941666666666666,52.92,8.4,66078612.0,5.0
AZ,Greenlee County,9.3,68066.0,2019,4.008333333333333,52.92,8.4,66078612.0,5.0
AZ,La Paz County,22.1,39407.0,2019,6.016666666666668,52.92,8.4,66078612.0,5.0
AZ,Maricopa County,12.2,68634.0,2019,4.183333333333334,52.92,8.4,66078612.0,5.0
AZ,Mohave County,16.0,49712.0,2019,5.8583333333333325,52.92,8.4,66078612.0,5.0
AZ,Navajo County,25.2,40676.0,2019,7.575,52.92,8.4,66078612.0,5.0
AZ,Pima County,14.0,56150.0,2019,4.55,52.92,8.4,66078612.0,5.0
AZ,Pinal County,12.1,62067.0,2019,5.05,52.92,8.4,66078612.0,5.0
AZ,Santa Cruz County,18.8,47779.0,2019,8.733333333333333,52.92,8.4,66078612.0,5.0
AZ,Yavapai County,12.0,54242.0,2019,4.558333333333334,52.92,8.4,66078612.0,5.0
