,State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness
0,AZ,Apache County,34.5,30651.0,2010,16.308333333333334,66.2,8.4,18031710.0,5.0,55.12627521732
1,AZ,Cochise County,17.7,43677.0,2010,9.283333333333333,66.2,8.4,18031710.0,5.0,72.28949969116739
2,AZ,Coconino County,23.8,43051.0,2010,9.808333333333334,66.2,8.4,18031710.0,5.0,62.727076617902306
3,AZ,Gila County,19.8,37430.0,2010,12.441666666666665,66.2,8.4,18031710.0,5.0,73.84057896097183
4,AZ,Graham County,21.6,39299.0,2010,12.825,66.2,8.4,18031710.0,5.0,62.1764705882353
5,AZ,Greenlee County,12.7,49592.0,2010,16.3,66.2,8.4,18031710.0,5.0,69.76913793103448
6,AZ,La Paz County,23.7,33818.0,2010,10.158333333333333,66.2,8.4,18031710.0,5.0,62.64470834358848
7,AZ,Maricopa County,16.6,50424.0,2010,9.458333333333334,66.2,8.4,18031710.0,5.0,72.22526383114807
8,AZ,Mohave County,18.7,36446.0,2010,12.875,66.2,8.4,18031710.0,5.0,73.82509897070467
9,AZ,Navajo County,27.8,37723.0,2010,14.591666666666667,66.2,8.4,18031710.0,5.0,56.63094161588363
10,AZ,Pima County,17.8,44293.0,2010,9.291666666666666,66.2,8.4,18031710.0,5.0,72.3048908028299
11,AZ,Pinal County,14.4,49833.0,2010,10.65,66.2,8.4,18031710.0,5.0,72.32215568862276
12,AZ,Santa Cruz County,28.0,33952.0,2010,15.15,66.2,8.4,18031710.0,5.0,56.36917728852839
13,AZ,Yavapai County,18.3,40562.0,2010,10.6,66.2,8.4,18031710.0,5.0,72.9121107266436
14,AZ,Yuma County,21.1,40609.0,2010,24.891666666666666,66.2,8.4,18031710.0,5.0,71.90988403696322
15,AZ,Apache County,36.5,30837.0,2011,18.33333333333333,66.6,8.9,48652319.0,5.0,54.39635258358662
16,AZ,Cochise County,19.6,41237.0,2011,9.466666666666667,66.6,8.9,48652319.0,5.0,72.98348623853211
17,AZ,Coconino County,21.6,45051.0,2011,9.475,66.6,8.9,48652319.0,5.0,73.18600160901045
18,AZ,Gila County,25.7,35898.0,2011,11.491666666666667,66.6,8.9,48652319.0,5.0,62.6295429083576
19,AZ,Graham County,26.0,40548.0,2011,9.9,66.6,8.9,48652319.0,5.0,63.0150417827298
20,AZ,Greenlee County,13.9,51145.0,2011,10.983333333333333,66.6,8.9,48652319.0,5.0,72.73536503683857
21,AZ,La Paz County,24.2,30679.0,2011,9.8,66.6,8.9,48652319.0,5.0,63.11235294117647
22,AZ,Maricopa County,17.4,50785.0,2011,8.5,66.6,8.9,48652319.0,5.0,72.3104247104247
23,AZ,Mohave County,21.7,35998.0,2011,12.2,66.6,8.9,48652319.0,5.0,70.5047197640118
24,AZ,Navajo County,32.4,32425.0,2011,14.733333333333333,66.6,8.9,48652319.0,5.0,56.47213578500707
25,AZ,Pima County,20.4,44102.0,2011,8.441666666666666,66.6,8.9,48652319.0,5.0,72.57087546951747
26,AZ,Pinal County,17.4,45170.0,2011,9.675,66.6,8.9,48652319.0,5.0,72.81772853185595
27,AZ,Santa Cruz County,26.2,35500.0,2011,15.358333333333333,66.6,8.9,48652319.0,5.0,56.91750551433727
28,AZ,Yavapai County,18.4,41437.0,2011,9.791666666666666,66.6,8.9,48652319.0,5.0,72.99077741649423
29,AZ,Yuma County,22.3,37894.0,2011,24.016666666666666,66.6,8.9,48652319.0,5.0,72.38163008276358
31,AZ,Apache County,33.2,32886.0,2012,18.95833333333333,67.1,8.16,48357880.0,5.0,55.03257708899184
33,AZ,Cochise County,18.8,43017.0,2012,9.025,67.1,8.16,48357880.0,5.0,73.19775381850853
35,AZ,Coconino County,24.6,45509.0,2012,8.591666666666667,67.1,8.16,48357880.0,5.0,63.91614361034396
37,AZ,Gila County,21.3,38267.0,2012,10.208333333333334,67.1,8.16,48357880.0,5.0,74.00095212906638
39,AZ,Graham County,25.4,41080.0,2012,8.5,67.1,8.16,48357880.0,5.0,63.91563421828908
41,AZ,Greenlee County,12.0,53312.0,2012,8.225,67.1,8.16,48357880.0,5.0,71.98009888751545
43,AZ,La Paz County,24.5,35236.0,2012,8.541666666666666,67.1,8.16,48357880.0,5.0,63.93322824716267
45,AZ,Maricopa County,17.4,51442.0,2012,7.291666666666668,67.1,8.16,48357880.0,5.0,72.23837327033411
47,AZ,Mohave County,21.1,34966.0,2012,11.033333333333333,67.1,8.16,48357880.0,5.0,74.34491701244812
49,AZ,Navajo County,30.3,34662.0,2012,14.133333333333333,67.1,8.16,48357880.0,5.0,57.4621905476369
51,AZ,Pima County,19.9,44745.0,2012,7.3916666666666675,67.1,8.16,48357880.0,5.0,72.48970992366412
53,AZ,Pinal County,17.7,50362.0,2012,8.533333333333333,67.1,8.16,48357880.0,5.0,72.85756035578144
55,AZ,Santa Cruz County,24.8,36660.0,2012,15.458333333333336,67.1,8.16,48357880.0,5.0,57.57733388532394
57,AZ,Yavapai County,15.7,43397.0,2012,8.591666666666667,67.1,8.16,48357880.0,5.0,72.65289879931389
59,AZ,Yuma County,21.9,39072.0,2012,23.766666666666666,67.1,8.16,48357880.0,5.0,72.79879562043796
60,AZ,Apache County,38.7,30252.0,2013,18.516666666666666,64.65,8.17,46269358.0,5.0,52.12576463734344
61,AZ,Cochise County,18.8,45294.0,2013,9.258333333333333,64.65,8.17,46269358.0,5.0,70.8533858033858
62,AZ,Coconino County,23.2,48732.0,2013,8.2,64.65,8.17,46269358.0,5.0,61.62070063694268
63,AZ,Gila County,22.6,39868.0,2013,9.691666666666666,64.65,8.17,46269358.0,5.0,61.258541935483876
64,AZ,Graham County,21.6,43497.0,2013,7.8,64.65,8.17,46269358.0,5.0,70.38061224489796
65,AZ,Greenlee County,11.6,54673.0,2013,5.9833333333333325,64.65,8.17,46269358.0,5.0,68.59729857819906
66,AZ,La Paz County,23.2,33994.0,2013,8.233333333333333,64.65,8.17,46269358.0,5.0,61.61161187698834
67,AZ,Maricopa County,17.6,52066.0,2013,6.625,64.65,8.17,46269358.0,5.0,69.46320949432405
68,AZ,Mohave County,21.3,38560.0,2013,10.433333333333334,64.65,8.17,46269358.0,5.0,71.6530462184874
69,AZ,Navajo County,31.8,37182.0,2013,13.55,64.65,8.17,46269358.0,5.0,55.14856670341787
