State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness,PopulationTotal,PopulationScore,Lottery Tickets Sold,Lottery Winnings
AZ,Apache County,34.5,30651.0,2010,16.308333333333334,66.2,8.4,18031710.0,5.0,55.12627521731999,71829,1.12,101074.2100875394,13083.4
AZ,Cochise County,17.7,43677.0,2010,9.283333333333333,66.2,8.4,18031710.0,5.0,72.28949969116739,131822,2.06,185493.38738057914,33869.4
AZ,Coconino County,23.8,43051.0,2010,9.808333333333334,66.2,8.4,18031710.0,5.0,62.72707661790232,134612,2.1,189419.33715217884,34485.0
AZ,Gila County,19.8,37430.0,2010,12.441666666666665,66.2,8.4,18031710.0,5.0,73.84057896097183,53561,0.84,75368.38556152387,9619.7
AZ,Graham County,21.6,39299.0,2010,12.825,66.2,8.4,18031710.0,5.0,62.17647058823529,37152,0.58,52278.453732785696,6727.9
AZ,Greenlee County,12.7,49592.0,2010,16.3,66.2,8.4,18031710.0,5.0,69.76913793103448,8339,0.13,11734.227650670216,1936.1
AZ,La Paz County,23.7,33818.0,2010,10.158333333333333,66.2,8.4,18031710.0,5.0,62.644708343588476,20497,0.32,28842.362891927984,3803.8
AZ,Maricopa County,16.6,50424.0,2010,9.458333333333334,66.2,8.4,18031710.0,5.0,72.22526383114806,3825110,59.7,5382505.279872306,1719456.3
AZ,Mohave County,18.7,36446.0,2010,12.875,66.2,8.4,18031710.0,5.0,73.82509897070467,200314,3.13,281871.9363972124,37623.8
AZ,Navajo County,27.8,37723.0,2010,14.591666666666667,66.2,8.4,18031710.0,5.0,56.630941615883636,107697,1.68,151545.88263511576,19815.1
AZ,Pima County,17.8,44293.0,2010,9.291666666666666,66.2,8.4,18031710.0,5.0,72.3048908028299,981620,15.32,1381287.0303934403,194392.8
AZ,Pinal County,14.4,49833.0,2010,10.65,66.2,8.4,18031710.0,5.0,72.32215568862277,379094,5.92,533442.2948798627,80594.2
AZ,Santa Cruz County,28.0,33952.0,2010,15.15,66.2,8.4,18031710.0,5.0,56.3691772885284,47415,0.74,66720.03886035836,8494.9
AZ,Yavapai County,18.3,40562.0,2010,10.6,66.2,8.4,18031710.0,5.0,72.91211072664359,210983,3.29,296884.82460982783,39440.2
AZ,Yuma County,21.1,40609.0,2010,24.891666666666666,66.2,8.4,18031710.0,5.0,71.90988403696322,197127,3.08,277387.3478946718,46631.7
AZ,Apache County,36.5,30837.0,2011,18.33333333333333,66.6,8.9,48652319.0,5.0,54.39635258358662,72182,1.12,271281.89288811386,35799.8
AZ,Cochise County,19.6,41237.0,2011,9.466666666666667,66.6,8.9,48652319.0,5.0,72.98348623853211,133097,2.06,500218.9756134395,76121.6
AZ,Coconino County,21.6,45051.0,2011,9.475,66.6,8.9,48652319.0,5.0,73.18600160901045,134275,2.07,504646.2576203415,77081.1
AZ,Gila County,25.7,35898.0,2011,11.491666666666667,66.6,8.9,48652319.0,5.0,62.6295429083576,53440,0.83,200843.7609922253,26704.5
AZ,Graham County,26.0,40548.0,2011,9.9,66.6,8.9,48652319.0,5.0,63.015041782729796,37126,0.57,139530.790991717,18325.5
AZ,Greenlee County,13.9,51145.0,2011,10.983333333333333,66.6,8.9,48652319.0,5.0,72.73536503683856,8585,0.13,32265.039074069125,4362.4
AZ,La Paz County,24.2,30679.0,2011,9.8,66.6,8.9,48652319.0,5.0,63.112352941176475,20604,0.32,77436.0937777659,9845.8
AZ,Maricopa County,17.4,50785.0,2011,8.5,66.6,8.9,48652319.0,5.0,72.3104247104247,3874996,59.87,14563412.621067159,3046642.4
AZ,Mohave County,21.7,35998.0,2011,12.2,66.6,8.9,48652319.0,5.0,70.5047197640118,202812,3.13,762229.1327536526,111393.2
AZ,Navajo County,32.4,32425.0,2011,14.733333333333333,66.6,8.9,48652319.0,5.0,56.47213578500707,107552,1.66,404213.1022124965,53885.9
AZ,Pima County,20.4,44102.0,2011,8.441666666666666,66.6,8.9,48652319.0,5.0,72.57087546951747,988381,15.27,3714636.177643275,1476564.1
AZ,Pinal County,17.4,45170.0,2011,9.675,66.6,8.9,48652319.0,5.0,72.81772853185595,378041,5.84,1420792.968736187,199728.0
AZ,Santa Cruz County,26.2,35500.0,2011,15.358333333333333,66.6,8.9,48652319.0,5.0,56.91750551433727,47667,0.74,179147.072515277,23674.0
AZ,Yavapai County,18.4,41437.0,2011,9.791666666666666,66.6,8.9,48652319.0,5.0,72.99077741649424,211044,3.26,793167.4905472154,115620.7
AZ,Yuma County,22.3,37894.0,2011,24.016666666666666,66.6,8.9,48652319.0,5.0,72.38163008276358,202841,3.13,762338.1235670653,111412.2
AZ,Apache County,33.2,32886.0,2012,18.95833333333333,67.1,8.16,48357880.0,5.0,55.03257708899184,72229,1.1,266426.6237445801,35275.4
AZ,Cochise County,18.8,43017.0,2012,9.025,67.1,8.16,48357880.0,5.0,73.19775381850853,132017,2.01,486962.9039151619,74485.7
AZ,Coconino County,24.6,45509.0,2012,8.591666666666667,67.1,8.16,48357880.0,5.0,63.91614361034396,136146,2.08,502193.28962507576,76334.4
