State,County,Poverty_Percent,Median_Income,Year,Unemployment,Happiness Score,Tax,Lottery Sales $,Win Tax %,County Happiness,PopulationTotal,PopulationScore,Lottery Tickets Sold,Lottery Winnings,TotalCrime,StateCrime,CrimeScore
AZ,Apache County,34.5,30651.0,2010,16.308333333333334,66.2,8.4,18031710.0,5.0,55.12627521731999,71829,1.12,101074.2100875394,13083.4,0.0,30888.0,0.0
AZ,Cochise County,17.7,43677.0,2010,9.283333333333333,66.2,8.4,18031710.0,5.0,72.28949969116739,131822,2.06,185493.38738057914,33869.4,1307.0,30888.0,-5577.938163688164
AZ,Coconino County,23.8,43051.0,2010,9.808333333333334,66.2,8.4,18031710.0,5.0,62.72707661790232,134612,2.1,189419.33715217886,34485.0,613.0,30888.0,-2671.495596995597
AZ,Gila County,19.8,37430.0,2010,12.441666666666665,66.2,8.4,18031710.0,5.0,73.84057896097183,53561,0.84,75368.38556152387,9619.7,366.0,30888.0,-634.658313908314
AZ,Graham County,21.6,39299.0,2010,12.825,66.2,8.4,18031710.0,5.0,62.17647058823529,37152,0.58,52278.453732785696,6727.9,0.0,30888.0,0.0
AZ,Greenlee County,12.7,49592.0,2010,16.3,66.2,8.4,18031710.0,5.0,69.76913793103448,8339,0.13,11734.227650670215,1936.1,0.0,30888.0,0.0
AZ,La Paz County,23.7,33818.0,2010,10.158333333333333,66.2,8.4,18031710.0,5.0,62.644708343588476,20497,0.32,28842.362891927984,3803.8,421.0,30888.0,-279.37182724682725
AZ,Maricopa County,16.6,50424.0,2010,9.458333333333334,66.2,8.4,18031710.0,5.0,72.22526383114806,3825110,59.7,5382505.279872307,1719456.3,6106.0,30888.0,-756155.194897695
AZ,Mohave County,18.7,36446.0,2010,12.875,66.2,8.4,18031710.0,5.0,73.82509897070467,200314,3.13,281871.9363972124,37623.8,2275.0,30888.0,-14753.766835016835
AZ,Navajo County,27.8,37723.0,2010,14.591666666666667,66.2,8.4,18031710.0,5.0,56.630941615883636,107697,1.68,151545.88263511573,19815.1,809.0,30888.0,-2820.7353341103344
AZ,Pima County,17.8,44293.0,2010,9.291666666666666,66.2,8.4,18031710.0,5.0,72.3048908028299,981620,15.32,1381287.0303934405,194392.8,12396.0,30888.0,-393944.62315462314
AZ,Pinal County,14.4,49833.0,2010,10.65,66.2,8.4,18031710.0,5.0,72.32215568862277,379094,5.92,533442.2948798627,80594.2,3977.0,30888.0,-48810.438940688946
AZ,Santa Cruz County,28.0,33952.0,2010,15.15,66.2,8.4,18031710.0,5.0,56.3691772885284,47415,0.74,66720.03886035836,8494.9,0.0,30888.0,0.0
AZ,Yavapai County,18.3,40562.0,2010,10.6,66.2,8.4,18031710.0,5.0,72.91211072664359,210983,3.29,296884.82460982783,39440.2,1659.0,30888.0,-11331.934634809635
AZ,Yuma County,21.1,40609.0,2010,24.891666666666666,66.2,8.4,18031710.0,5.0,71.90988403696322,197127,3.08,277387.3478946718,46631.7,959.0,30888.0,-6120.331293706294
