,State,Happiness Score,Year
0,HI,71.0,2010
1,WY,69.2,2010
2,ND,68.4,2010
3,AK,68.3,2010
4,CO,68.0,2010
5,MN,68.0,2010
6,SD,68.0,2010
7,UT,67.9,2010
8,CT,67.9,2010
9,MA,67.8,2010
10,NE,67.8,2010
11,MD,67.5,2010
12,WA,67.5,2010
13,MT,67.3,2010
14,KS,67.2,2010
15,NH,67.2,2010
16,VT,67.1,2010
17,CA,67.0,2010
18,IA,66.9,2010
19,ID,66.9,2010
20,NM,66.7,2010
21,VA,66.7,2010
22,WI,66.7,2010
23,NJ,66.6,2010
24,ME,66.4,2010
25,IL,66.3,2010
26,OR,66.3,2010
27,TX,66.3,2010
28,AZ,66.2,2010
29,PA,66.1,2010
30,GA,66.1,2010
31,NY,65.9,2010
32,RI,65.7,2010
33,MO,65.6,2010
34,SC,65.3,2010
35,NC,65.1,2010
36,FL,65.1,2010
37,OK,64.9,2010
38,IN,64.8,2010
39,TN,64.8,2010
40,MI,64.6,2010
41,LA,64.3,2010
42,DE,64.2,2010
43,NV,64.2,2010
44,OH,63.8,2010
45,AL,63.7,2010
46,AR,63.7,2010
47,MS,63.0,2010
48,KY,61.9,2010
49,WV,61.7,2010
50,HI,70.2,2011
51,ND,70.0,2011
52,MN,69.2,2011
53,UT,69.0,2011
54,AK,69.0,2011
55,CO,68.4,2011
56,KS,68.4,2011
57,NE,68.3,2011
58,NH,68.2,2011
59,MT,68.0,2011
60,SD,67.8,2011
61,VT,67.7,2011
62,MD,67.6,2011
63,VA,67.4,2011
64,IA,67.4,2011
65,MA,67.4,2011
66,CA,67.3,2011
67,WA,67.3,2011
68,CT,67.2,2011
69,OR,67.1,2011
70,WY,66.9,2011
71,WI,66.9,2011
72,ID,66.9,2011
73,NM,66.8,2011
74,ME,66.7,2011
75,AZ,66.6,2011
76,TX,66.4,2011
77,GA,66.3,2011
78,NJ,66.2,2011
79,NC,66.1,2011
80,PA,66.0,2011
81,IL,65.9,2011
82,SC,65.7,2011
83,NY,65.7,2011
84,RI,65.6,2011
85,LA,65.5,2011
86,MI,65.3,2011
87,OK,65.1,2011
88,IN,65.1,2011
89,NV,65.0,2011
90,TN,65.0,2011
91,FL,64.9,2011
92,MO,64.8,2011
93,AR,64.7,2011
94,AL,64.6,2011
95,OH,64.5,2011
96,DE,64.2,2011
97,MS,63.4,2011
98,KY,63.3,2011
99,WV,62.3,2011
100,HI,71.1,2012
