,STATE,YEAR,SALES_DOLLARS
0,AR,2010,11426048.0
1,AR,2011,18613757.0
2,AR,2012,17114811.0
3,AR,2013,14249725.0
4,AR,2014,15985616.0
5,AR,2015,10202973.0
6,AR,2016,12692024.0
7,AR,2017,11172675.0
8,AR,2018,30368534.0
9,AR,2019,17797180.0
10,AR,2020,442474.0
11,AZ,2010,18031710.0
12,AZ,2011,48652319.0
13,AZ,2012,48357880.0
14,AZ,2013,46269358.0
15,AZ,2014,59156404.0
16,AZ,2015,40260979.0
17,AZ,2016,48282977.0
18,AZ,2017,41824609.0
19,AZ,2018,95355516.0
20,AZ,2019,66078612.0
21,AZ,2020,1620730.0
22,CA,2010,398922639.0
23,CA,2011,597578002.0
24,CA,2012,649766997.0
25,CA,2013,433818219.0
26,CA,2014,502996888.0
27,CA,2015,343753613.0
28,CA,2016,394581272.0
29,CA,2017,345521967.0
30,CA,2018,719755938.0
31,CA,2019,485135620.0
32,CA,2020,10781622.0
33,CO,2010,7454999.0
34,CO,2011,21535675.0
35,CO,2012,27652979.0
36,CO,2013,25751339.0
37,CO,2014,31739926.0
38,CO,2015,20178234.0
39,CO,2016,23998468.0
40,CO,2017,22602795.0
41,CO,2018,56872836.0
42,CO,2019,39860854.0
43,CO,2020,828564.0
44,CT,2010,17640417.0
45,CT,2011,29685102.0
46,CT,2012,31905035.0
47,CT,2013,28347666.0
48,CT,2014,35512703.0
49,CT,2015,22989963.0
50,CT,2016,40041350.0
51,CT,2017,26149553.0
52,CT,2018,60059886.0
53,CT,2019,43582776.0
54,CT,2020,1025314.0
55,DC,2010,5007037.0
56,DC,2011,8376285.0
57,DC,2012,9644026.0
58,DC,2013,7678347.0
59,DC,2014,8772371.0
60,DC,2015,5175630.0
61,DC,2016,5963427.0
62,DC,2017,5261278.0
63,DC,2018,9636066.0
64,DC,2019,6487199.0
65,DC,2020,154561.0
66,DE,2010,5716261.0
67,DE,2011,9899832.0
68,DE,2012,10284783.0
