,State,County,Poverty_Percent,Median_Income,Year,Unemployment
0,AL,Autauga County,11.9,53049.0,2010,8.808333333333334
1,AL,Baldwin County,13.3,47618.0,2010,9.9
2,AL,Barbour County,25.3,33074.0,2010,12.158333333333333
3,AL,Bibb County,20.9,35472.0,2010,11.258333333333333
4,AL,Blount County,16.5,42906.0,2010,9.7
5,AL,Bullock County,31.1,25969.0,2010,11.625
6,AL,Butler County,28.1,29500.0,2010,13.4
7,AL,Calhoun County,23.5,37916.0,2010,11.216666666666667
8,AL,Chambers County,28.5,30061.0,2010,14.616666666666667
9,AL,Cherokee County,21.2,34410.0,2010,10.458333333333334
10,AL,Chilton County,20.4,38553.0,2010,10.15
11,AL,Choctaw County,20.7,32003.0,2010,13.008333333333333
12,AL,Clarke County,24.9,33739.0,2010,19.5
13,AL,Clay County,20.6,33035.0,2010,14.183333333333335
14,AL,Cleburne County,17.8,37566.0,2010,9.841666666666667
15,AL,Coffee County,20.1,40779.0,2010,8.466666666666667
16,AL,Colbert County,19.2,37455.0,2010,11.283333333333333
17,AL,Conecuh County,25.7,27855.0,2010,16.916666666666668
18,AL,Coosa County,18.6,33721.0,2010,15.1
19,AL,Covington County,20.9,33484.0,2010,10.216666666666667
20,AL,Crenshaw County,20.3,35577.0,2010,10.05
21,AL,Cullman County,19.2,37948.0,2010,10.333333333333334
22,AL,Dale County,17.8,41287.0,2010,8.741666666666667
23,AL,Dallas County,35.6,26195.0,2010,16.541666666666668
24,AL,DeKalb County,20.8,34822.0,2010,12.416666666666664
25,AL,Elmore County,12.5,51013.0,2010,8.975
26,AL,Escambia County,26.1,31365.0,2010,11.575
27,AL,Etowah County,19.0,36088.0,2010,10.783333333333333
28,AL,Fayette County,27.3,32643.0,2010,12.791666666666664
29,AL,Franklin County,21.6,33649.0,2010,10.533333333333333
30,AL,Geneva County,20.3,34418.0,2010,10.216666666666667
31,AL,Greene County,31.0,27117.0,2010,16.95
32,AL,Hale County,24.8,31790.0,2010,14.85
33,AL,Henry County,18.1,37851.0,2010,10.775
34,AL,Houston County,17.9,39290.0,2010,9.05
35,AL,Jackson County,19.9,36158.0,2010,11.658333333333333
36,AL,Jefferson County,18.6,41740.0,2010,10.183333333333334
37,AL,Lamar County,21.5,32993.0,2010,12.966666666666667
38,AL,Lauderdale County,17.6,39213.0,2010,9.966666666666667
39,AL,Lawrence County,18.1,37365.0,2010,12.358333333333333
40,AL,Lee County,21.3,40102.0,2010,8.916666666666666
41,AL,Limestone County,14.1,49667.0,2010,9.541666666666666
42,AL,Lowndes County,30.7,28754.0,2010,18.133333333333333
43,AL,Macon County,31.2,27041.0,2010,14.508333333333333
44,AL,Madison County,12.7,54633.0,2010,8.208333333333334
45,AL,Marengo County,23.6,33085.0,2010,13.433333333333335
46,AL,Marion County,20.9,32080.0,2010,13.291666666666664
47,AL,Marshall County,19.4,38859.0,2010,9.541666666666666
48,AL,Mobile County,20.5,39753.0,2010,11.141666666666667
49,AL,Monroe County,28.4,31744.0,2010,17.8
50,AL,Montgomery County,21.3,41556.0,2010,9.883333333333333
51,AL,Morgan County,14.1,44859.0,2010,10.625
52,AL,Perry County,39.5,24742.0,2010,16.541666666666668
53,AL,Pickens County,24.4,31032.0,2010,12.933333333333335
54,AL,Pike County,30.0,32771.0,2010,9.366666666666667
55,AL,Randolph County,24.8,32584.0,2010,13.166666666666664
56,AL,Russell County,24.1,32733.0,2010,10.741666666666667
57,AL,St. Clair County,13.0,48296.0,2010,9.991666666666667
58,AL,Shelby County,9.8,67135.0,2010,6.991666666666667
59,AL,Sumter County,31.3,25586.0,2010,13.075
60,AL,Talladega County,22.7,35646.0,2010,13.233333333333333
61,AL,Tallapoosa County,18.3,34440.0,2010,12.9
62,AL,Tuscaloosa County,18.0,43098.0,2010,9.116666666666667
63,AL,Walker County,23.2,36044.0,2010,12.483333333333333
64,AL,Washington County,19.6,37639.0,2010,13.966666666666667
65,AL,Wilcox County,39.6,21611.0,2010,25.80833333333333
66,AL,Winston County,20.3,32574.0,2010,15.666666666666664
67,AK,Aleutians East Borough,16.8,47077.0,2010,6.433333333333334
68,AK,Bristol Bay Borough,8.8,62912.0,2010,14.183333333333335
69,AK,Denali Borough,5.6,61004.0,2010,15.466666666666667
70,AK,Fairbanks North Star Borough,9.4,60472.0,2010,6.9
71,AK,Haines Borough,12.1,46111.0,2010,11.525
72,AK,Kenai Peninsula Borough,10.7,57347.0,2010,10.358333333333333
73,AK,Ketchikan Gateway Borough,10.0,58073.0,2010,9.208333333333334
74,AK,Kodiak Island Borough,8.3,59847.0,2010,7.666666666666668
75,AK,Lake and Peninsula Borough,17.7,39794.0,2010,15.508333333333333
